record_id,date,domain,model_version,prediction_value,actual_value,error_absolute,error_direction,error_pct,model_type,calibration_state,flag,prediction_type,status,notes
001,2026-03-10,HRV,gpt4-base,65,74,9,under,13.8%,gen_pop,pre,inferred,point,closed,"week 4 stabilization"
002,2026-03-12,sleep,gpt4-base,390,438,48,under,12.3%,gen_pop,pre,reconstructed,range,closed,"sleep duration exceeded trajectory expectation"
003,2026-03-15,performance,gpt4-base,1.00,1.18,0.18,under,18.0%,gen_pop,pre,inferred,point,closed,"work capacity exceeded expected adaptation pace"
004,2026-03-05,HRV,gpt4-base,64,72,8,under,12.5%,gen_pop,pre,reconstructed,point,closed,"HRV expected slower rise during stabilization"
005,2026-03-06,performance,gpt4-base,1.00,1.15,0.15,under,15.0%,gen_pop,pre,reconstructed,point,closed,"work capacity adaptation exceeded expected pace"
006,2026-03-07,recovery_rate,gpt4-base,48,36,12,under,25.0%,gen_pop,pre,reconstructed,point,closed,"predicted slower return to baseline between sessions"
007,2026-03-08,sleep,gpt4-base,400,445,45,under,11.3%,gen_pop,pre,reconstructed,range,closed,"sleep duration exceeded expectation under load"
008,2026-03-10,performance,gpt4-base,1.00,1.18,0.18,under,18.0%,gen_pop,pre,inferred,point,closed,"treadmill + locomotion capacity exceeded expected fatigue curve"
009,2026-03-12,recovery_rate,gpt4-base,72,48,24,under,33.3%,gen_pop,pre,reconstructed,point,closed,"recovery compression faster than predicted"
010,2026-03-15,body_comp,gpt4-base,0.5,0.8,0.3,under,60.0%,gen_pop,pre,reconstructed,point,closed,"rate of recomposition exceeded population curve"
011,2026-03-18,performance,gpt4-base,1.00,1.20,0.20,under,20.0%,gen_pop,pre,inferred,point,closed,"strength + endurance coexistence exceeded expected interference model"
012,2026-03-20,recovery_rate,gpt4-base,60,42,18,under,30.0%,gen_pop,pre,reconstructed,point,closed,"recovery window shorter than predicted under repeated exposure"
