source_version,source_kind,coverage_start,coverage_end,retained_private_filename,size_bytes,sha256,hash_status,public_extraction_targets,notes
v1.0,private_pdf_snapshot,2026-02-09,2026-02-15,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Public source_ref values identify Daniel_Dataset_v1.0 PDF-derived Daily Biomarkers and Training Blocks records; no exact immutable private PDF was available during this hash-registration pass."
v1.1,private_workbook,2026-02-16,2026-02-22,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.2,private_workbook,2026-02-23,2026-03-01,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.3,private_workbook,2026-03-02,2026-03-08,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.4,private_workbook,2026-03-09,2026-03-15,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.5,private_workbook,2026-03-16,2026-03-22,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.6,private_workbook,2026-03-23,2026-03-29,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.7,private_workbook,2026-03-30,2026-04-05,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.8,private_workbook,2026-04-06,2026-04-12,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.9,private_workbook,2026-04-13,2026-04-19,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.10,private_workbook,2026-04-20,2026-04-26,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.11,private_workbook,2026-04-27,2026-05-03,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.12,private_workbook,2026-05-04,2026-05-10,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.13,private_workbook,2026-05-11,2026-05-17,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.14,private_workbook,2026-05-18,2026-05-24,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.15,private_workbook,2026-05-25,2026-05-31,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.16,private_workbook,2026-06-01,2026-06-07,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.17,private_workbook,2026-06-08,2026-06-14,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.18,private_workbook,2026-06-15,2026-06-21,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.19,private_workbook,2026-06-22,2026-06-28,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.20,private_workbook,2026-06-29,2026-07-05,Daniel_Dataset_v1.20_W26_closed.xlsx,368975,ea782e3cbdaea11837a2d379eb7e9c652f7d20e1d152ca93be7e24dd3b8f5472,registered,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","SHA-256 computed from the retained private workbook available during the 2026-09-06 provenance pass."
v1.21,private_workbook,2026-07-06,2026-07-12,Daniel_Dataset_v1.21_W27_closed.xlsx,328172,d2d8bf9d772b56afca2634a623a12cb581a8a33bfe3a0de19b90689bad4d8974,registered,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","SHA-256 computed from the retained private workbook available during the 2026-09-06 provenance pass."
v1.22,private_workbook,2026-07-13,2026-07-19,,,,not_available_for_hash_registration,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","Source version is preserved through public row-level source_ref values."
v1.23,private_workbook,2026-07-20,2026-07-26,Daniel_Dataset_v1.23_weekly_summary_completed.xlsx,373836,2fa31872b9f0297f311b029c22d601766465ca0c973a6f77c3005a6c5a70454b,registered,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","SHA-256 computed from the retained private workbook available during the 2026-09-06 provenance pass."
v1.24,private_workbook,2026-07-27,2026-08-02,Daniel_Dataset_v1.24_closed.xlsx,372465,390649549b4ca90a6b8e50c79a1323ffa67141fd1bf751bab78d61138f5751db,registered,"daily_biomarkers_v1.csv;training_blocks_v1.csv;context_events_v1.csv","SHA-256 computed from the retained private workbook available during the 2026-09-06 provenance pass."
